ID,SEX,AGE,AREAdis,MARRIED,CHILD,Undesirable,ConservatibeBuying,FoodLiteracy01,FoodLiteracy02,FoodLiteracy03,FoodLiteracy04,FoodLiteracy05,FoodLiteracy06,FoodLiteracy07,FoodLiteracy08,FoodLiteracy09,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Quiz06
128,2,45,594.8,2,1,5,4,2,3,2,3,2,2,3,5,3,4,5,2,1,5,1
129,2,54,811.3,1,1,6,5,5,5,1,3,4,3,3,5,4,5,1,2,2,5,1
130,1,51,594.8,2,2,4,3,3,3,3,3,3,2,2,2,2,5,5,2,2,4,1
131,1,43,427.9,2,2,4,4,3,4,3,3,3,3,3,3,3,5,5,2,5,3,2
132,1,37,238.9,1,1,6,6,1,5,1,2,1,3,1,4,1,3,4,4,5,3,2
133,1,44,224.9,1,1,6,3,5,5,5,5,2,2,2,5,4,3,4,1,2,3,2
134,1,59,224.9,2,2,2,4,2,3,3,2,2,3,3,2,3,4,5,5,5,5,5
135,1,40,342.1,1,1,6,6,4,4,1,3,1,1,1,1,1,5,5,5,2,3,1
136,2,59,156.3,2,2,4,4,3,2,3,4,4,3,3,4,2,5,1,3,2,4,1
137,1,53,583.8,2,2,6,2,4,4,2,3,2,4,4,5,4,1,1,1,1,3,3
138,1,56,422,2,2,5,5,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5
139,2,47,0,2,2,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
140,1,41,220.8,2,2,4,2,4,4,3,4,4,3,3,4,4,3,2,2,1,2,1
141,2,58,222.4,2,2,5,5,3,4,4,4,3,3,3,3,3,3,4,5,5,5,5
142,1,52,594.8,1,1,5,4,3,3,3,3,3,2,3,4,3,3,1,3,2,4,3
143,1,47,1049.8,2,2,6,2,4,3,3,4,4,3,3,4,4,5,4,5,5,5,5
144,2,57,238.9,2,2,4,4,2,4,2,3,2,2,2,2,2,5,5,2,2,4,2
145,2,48,559.7,2,1,5,5,3,4,3,3,3,3,3,3,3,3,1,3,2,5,1
146,2,42,364.5,1,1,1,1,1,1,1,1,1,1,1,2,2,5,5,5,5,5,5
147,2,48,594.8,2,2,5,3,4,4,3,3,1,1,1,5,4,5,5,3,2,5,5
